id,title,description,link,brand,gtin,mpn,image_link,additional_image_link,video_link,model_3d_link,condition,google_product_category,product_category,age_group,color,gender,material,pattern,size,size_type,size_system,item_group_id,availability,availability_date,price,sale_price,sale_price_effective_date,cost_of_goods_sold,tax,tax_behavior,applicable_fees,shipping,free_shipping_threshold,popularity_score,return_rate,product_review_count,product_review_rating,delete
SKU12AB3456-S,Mens Floral Polo Shirt,Bring a burst of fun to your golf game with this Men's Floral Polo. Crafted from breathable performance fabric with moisture-wicking technology. Features a classic three-button placket and ribbed collar for timeless style.,https://example.com/product/polo-shirt?variant=small,Stripe Golf,3234567890120,STR12345-S,https://example.com/images/floral-polo-main.jpg,"https://example.com/images/floral-polo-back.jpg,https://example.com/images/floral-polo-detail.jpg",https://youtu.be/polo-demo-12345,,new,1594,Apparel & Accessories > Clothing > Shirts & Tops,adult,Blue,male,Cotton Blend,Floral,S,regular,US,POLO-GROUP-001,in_stock,,89.99 USD,69.99 USD,2025-12-01T00:00:00Z/2025-12-31T23:59:59Z,35.00 USD,,exclusive,US:CA:Recycling Fee:0.10 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:50.00 USD,4.7,2.0,124,4.3,false
SKU12AB3456-M,Mens Floral Polo Shirt,Bring a burst of fun to your golf game with this Men's Floral Polo. Crafted from breathable performance fabric with moisture-wicking technology. Features a classic three-button placket and ribbed collar for timeless style.,https://example.com/product/polo-shirt?variant=medium,Stripe Golf,3234567890121,STR12345-M,https://example.com/images/floral-polo-main.jpg,"https://example.com/images/floral-polo-back.jpg,https://example.com/images/floral-polo-detail.jpg",https://youtu.be/polo-demo-12345,,new,1594,Apparel & Accessories > Clothing > Shirts & Tops,adult,Blue,male,Cotton Blend,Floral,M,regular,US,POLO-GROUP-001,in_stock,,89.99 USD,69.99 USD,2025-12-01T00:00:00Z/2025-12-31T23:59:59Z,35.00 USD,,exclusive,US:CA:Recycling Fee:0.10 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:50.00 USD,4.7,2.0,124,4.3,false
SKU12AB3456-L,Mens Floral Polo Shirt,Bring a burst of fun to your golf game with this Men's Floral Polo. Crafted from breathable performance fabric with moisture-wicking technology. Features a classic three-button placket and ribbed collar for timeless style.,https://example.com/product/polo-shirt?variant=large,Stripe Golf,3234567890126,STR12345-L,https://example.com/images/floral-polo-main.jpg,"https://example.com/images/floral-polo-back.jpg,https://example.com/images/floral-polo-detail.jpg",https://youtu.be/polo-demo-12345,,new,1594,Apparel & Accessories > Clothing > Shirts & Tops,adult,Blue,male,Cotton Blend,Floral,L,regular,US,POLO-GROUP-001,in_stock,,89.99 USD,69.99 USD,2025-12-01T00:00:00Z/2025-12-31T23:59:59Z,35.00 USD,,exclusive,US:CA:Recycling Fee:0.10 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:50.00 USD,4.7,2.0,124,4.3,false
SKU12AB3456-XL,Mens Floral Polo Shirt,Bring a burst of fun to your golf game with this Men's Floral Polo. Crafted from breathable performance fabric with moisture-wicking technology. Features a classic three-button placket and ribbed collar for timeless style.,https://example.com/product/polo-shirt?variant=xlarge,Stripe Golf,3234567890127,STR12345-XL,https://example.com/images/floral-polo-main.jpg,"https://example.com/images/floral-polo-back.jpg,https://example.com/images/floral-polo-detail.jpg",https://youtu.be/polo-demo-12345,,new,1594,Apparel & Accessories > Clothing > Shirts & Tops,adult,Blue,male,Cotton Blend,Floral,XL,regular,US,POLO-GROUP-001,in_stock,,89.99 USD,69.99 USD,2025-12-01T00:00:00Z/2025-12-31T23:59:59Z,35.00 USD,,exclusive,US:CA:Recycling Fee:0.10 USD,US:ALL:Standard Shipping:3-5:0.00 USD,US:ALL:Standard Shipping:50.00 USD,4.7,2.0,124,4.3,false
SKU78CD9012-7,Womens Running Sneakers,Elevate your running experience with these lightweight performance sneakers. Features advanced cushioning technology and breathable mesh upper for maximum comfort during long runs.,https://example.com/product/sneakers?variant=size7,Stripe Athletics,9876543210980,STR-RUN-2024-7,https://example.com/images/sneakers-main.jpg,"https://example.com/images/sneakers-side.jpg,https://example.com/images/sneakers-sole.jpg",,,new,187,Apparel & Accessories > Shoes,adult,White,female,Synthetic Mesh,,7,regular,US,SNEAKER-GROUP-001,in_stock,,129.99 USD,,,45.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:5.99 USD|US:ALL:Express Shipping:1-2:12.99 USD,US:ALL:Standard Shipping:75.00 USD,4.5,1.5,342,4.6,false
SKU78CD9012-8,Womens Running Sneakers,Elevate your running experience with these lightweight performance sneakers. Features advanced cushioning technology and breathable mesh upper for maximum comfort during long runs.,https://example.com/product/sneakers?variant=size8,Stripe Athletics,9876543210987,STR-RUN-2024-8,https://example.com/images/sneakers-main.jpg,"https://example.com/images/sneakers-side.jpg,https://example.com/images/sneakers-sole.jpg",,,new,187,Apparel & Accessories > Shoes,adult,White,female,Synthetic Mesh,,8,regular,US,SNEAKER-GROUP-001,in_stock,,129.99 USD,,,45.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:5.99 USD|US:ALL:Express Shipping:1-2:12.99 USD,US:ALL:Standard Shipping:75.00 USD,4.5,1.5,342,4.6,false
SKU78CD9012-9,Womens Running Sneakers,Elevate your running experience with these lightweight performance sneakers. Features advanced cushioning technology and breathable mesh upper for maximum comfort during long runs.,https://example.com/product/sneakers?variant=size9,Stripe Athletics,9876543210988,STR-RUN-2024-9,https://example.com/images/sneakers-main.jpg,"https://example.com/images/sneakers-side.jpg,https://example.com/images/sneakers-sole.jpg",,,new,187,Apparel & Accessories > Shoes,adult,White,female,Synthetic Mesh,,9,regular,US,SNEAKER-GROUP-001,in_stock,,129.99 USD,,,45.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:5.99 USD|US:ALL:Express Shipping:1-2:12.99 USD,US:ALL:Standard Shipping:75.00 USD,4.5,1.5,342,4.6,false
SKU78CD9012-10,Womens Running Sneakers,Elevate your running experience with these lightweight performance sneakers. Features advanced cushioning technology and breathable mesh upper for maximum comfort during long runs.,https://example.com/product/sneakers?variant=size10,Stripe Athletics,9876543210989,STR-RUN-2024-10,https://example.com/images/sneakers-main.jpg,"https://example.com/images/sneakers-side.jpg,https://example.com/images/sneakers-sole.jpg",,,new,187,Apparel & Accessories > Shoes,adult,White,female,Synthetic Mesh,,10,regular,US,SNEAKER-GROUP-001,in_stock,,129.99 USD,,,45.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:5.99 USD|US:ALL:Express Shipping:1-2:12.99 USD,US:ALL:Standard Shipping:75.00 USD,4.5,1.5,342,4.6,false
SKU34EF5678-BLK,Wireless Bluetooth Headphones,Premium over-ear headphones with active noise cancellation and 30-hour battery life. Enjoy crystal-clear audio and deep bass for an immersive listening experience.,https://example.com/product/headphones?variant=black,Stripe Audio,1122334455667,STR-HP-PRO-BLK,https://example.com/images/headphones-black-main.jpg,"https://example.com/images/headphones-folded.jpg,https://example.com/images/headphones-case.jpg",https://youtu.be/headphones-demo-67890,,new,222,Electronics > Audio > Headphones,,,Black,unisex,,,,,HEADPHONE-GROUP-001,in_stock,,199.99 USD,,,75.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:9.99 USD,US:ALL:Standard Shipping:100.00 USD,4.8,0.8,856,4.7,false
SKU34EF5678-SLV,Wireless Bluetooth Headphones,Premium over-ear headphones with active noise cancellation and 30-hour battery life. Enjoy crystal-clear audio and deep bass for an immersive listening experience.,https://example.com/product/headphones?variant=silver,Stripe Audio,1122334455668,STR-HP-PRO-SLV,https://example.com/images/headphones-silver-main.jpg,"https://example.com/images/headphones-folded.jpg,https://example.com/images/headphones-case.jpg",https://youtu.be/headphones-demo-67890,,new,222,Electronics > Audio > Headphones,,,Silver,unisex,,,,,HEADPHONE-GROUP-001,in_stock,,199.99 USD,,,75.00 USD,,exclusive,,US:ALL:Standard Shipping:3-5:0.00 USD|US:ALL:Express Shipping:1-2:9.99 USD,US:ALL:Standard Shipping:100.00 USD,4.8,0.8,856,4.7,false
